brand,model,price,year,kilometers,power,link
Citroën,Xsara Picasso,5000,2002,146200,85,/osobni/detail/citroen/xsara-picasso/18809974?goFrom=list
Ford,Fusion,5000,2002,197000,50,/osobni/detail/ford/fusion/18799807?goFrom=list
Ford,Ka,6000,2001,150000,44,/osobni/detail/ford/ka/18523353?goFrom=list
Renault,,7000,2004,137918,83,/osobni/detail/renault/ostatni/18758169?goFrom=list
Hyundai,Getz,8000,2004,156000,0,/osobni/detail/hyundai/getz/18771220?goFrom=list
Ford,Mondeo,9000,2005,152000,85,/osobni/detail/ford/mondeo/18753802?goFrom=list
Ford,Fusion,9000,2002,190300,59,/osobni/detail/ford/fusion/18781776?goFrom=list
Mitsubishi,Colt,9777,2001,156400,55,/osobni/detail/mitsubishi/colt/16782787?goFrom=list
Škoda,Fabia,9900,2004,193000,40,/osobni/detail/skoda/fabia/17964287?goFrom=list
Citroën,Xsara Picasso,9900,2003,168560,85,/osobni/detail/citroen/xsara-picasso/18792610?goFrom=list
Opel,Meriva,9900,2003,185000,74,/osobni/detail/opel/meriva/16829195?goFrom=list
Toyota,Yaris,9900,2003,192147,50,/osobni/detail/toyota/yaris/18764994?goFrom=list
Renault,Twingo,9900,2001,137670,43,/osobni/detail/renault/twingo/18593055?goFrom=list
Renault,Laguna,9900,2000,95500,85,/osobni/detail/renault/laguna/15694817?goFrom=list
Fiat,Punto,9999,2002,165000,0,/osobni/detail/fiat/punto/16982357?goFrom=list
Citroën,Xsara Picasso,5000,2002,146200,85,/osobni/detail/citroen/xsara-picasso/18809974?goFrom=list
Ford,Fusion,5000,2002,197000,50,/osobni/detail/ford/fusion/18799807?goFrom=list
Ford,Ka,6000,2001,150000,44,/osobni/detail/ford/ka/18523353?goFrom=list
Renault,,7000,2004,137918,83,/osobni/detail/renault/ostatni/18758169?goFrom=list
Hyundai,Getz,8000,2004,156000,0,/osobni/detail/hyundai/getz/18771220?goFrom=list
Ford,Mondeo,9000,2005,152000,85,/osobni/detail/ford/mondeo/18753802?goFrom=list
Ford,Fusion,9000,2002,190300,59,/osobni/detail/ford/fusion/18781776?goFrom=list
Mitsubishi,Colt,9777,2001,156400,55,/osobni/detail/mitsubishi/colt/16782787?goFrom=list
Škoda,Fabia,9900,2004,193000,40,/osobni/detail/skoda/fabia/17964287?goFrom=list
Citroën,Xsara Picasso,9900,2003,168560,85,/osobni/detail/citroen/xsara-picasso/18792610?goFrom=list
Opel,Meriva,9900,2003,185000,74,/osobni/detail/opel/meriva/16829195?goFrom=list
Toyota,Yaris,9900,2003,192147,50,/osobni/detail/toyota/yaris/18764994?goFrom=list
Renault,Twingo,9900,2001,137670,43,/osobni/detail/renault/twingo/18593055?goFrom=list
Renault,Laguna,9900,2000,95500,85,/osobni/detail/renault/laguna/15694817?goFrom=list
Fiat,Punto,9999,2002,165000,0,/osobni/detail/fiat/punto/16982357?goFrom=list
Fiat,Marea,9999,2001,186127,81,/osobni/detail/fiat/marea/18504211?goFrom=list
